OverallRank,City,TotalScore,HealthCare,Food,Fitness,GreenSpace,lat,lng
14,"Minneapolis, MN",58.72,8,29,86,10,44.977753,-93.2650108
139,"Birmingham, AL",41.81,152,151,87,114,33.5185892,-86.8103567
127,"Tallahassee, FL",42.81,84,169,88,126,30.4382559,-84.28073289999999
100,"San Antonio, TX",46.71,106,94,89,88,29.4251905,-98.4945922
9,"South Burlington, VT",60.09,3,10,90,71,44.4669941,-73.1709604
108,"Billings, MT",45.69,102,130,91,109,45.7832856,-108.5006904
148,"Greensboro, NC",40.25,116,147,92,169,36.0726354,-79.7919754
112,"Henderson, NV",45.01,158,146,93,54,36.0395247,-114.9817213
102,"Casper, WY",46.14,112,171,94,56,42.84870900000001,-106.2980824
125,"Chattanooga, TN",43.35,135,154,95,68,35.0457984,-85.3093995
134,"Little Rock, AR",42.33,119,140,96,149,34.7444618,-92.2880157
98,"Houston, TX",47.14,118,38,97,115,29.7604267,-95.3698028
43,"Rochester, NY",53.39,67,34,98,14,43.15657789999999,-77.6088465
119,"Modesto, CA",44.43,162,115,99,78,37.6392595,-120.9970014
81,"Baltimore, MD",48.86,141,30,100,82,39.2903848,-76.6121893
36,"Chicago, IL",54.25,73,17,101,36,41.8781136,-87.6297982
140,"Nampa, ID",41.57,182,86,102,136,43.5788175,-116.55978
149,"Irving, TX",40.21,117,135,103,165,32.8140177,-96.9488945
97,"Lexington-Fayette, KY",47.28,30,85,104,125,38.0405837,-84.5037164
156,"Fort Wayne, IN",38.7,105,137,105,180,41.079273,-85.1393513
113,"Salem, OR",44.87,139,82,106,112,44.9428975,-123.0350963
106,"Milwaukee, WI",45.96,127,97,107,73,43.0389025,-87.9064736
65,"Buffalo, NY",50.87,79,32,108,63,42.88644679999999,-78.8783689
129,"Fresno, CA",42.79,157,56,109,148,36.7377981,-119.7871247
59,"Philadelphia, PA",51.29,134,22,110,45,39.9525839,-75.1652215
130,"Oklahoma City, OK",42.62,35,149,111,147,35.4675602,-97.5164276
73,"Pearl City, HI",50.57,26,112,112,26,21.3972222,-157.9733333
124,"Columbus, OH",43.64,111,99,113,130,39.9611755,-82.99879419999999
117,"Indianapolis, IN",44.52,107,75,114,138,39.768403,-86.158068
143,"Tulsa, OK",41.04,82,156,115,144,36.1539816,-95.99277500000001
68,"West Valley City, UT",50.67,85,42,116,41,40.6916132,-112.0010501
168,"Lubbock, TX",35.89,174,177,117,161,33.5778631,-101.8551665
114,"Cheyenne, WY",44.77,86,164,118,124,41.1399814,-104.8202462
131,"Cape Coral, FL",42.47,97,143,119,154,26.5628537,-81.9495331
10,"Washington, DC",59.75,16,7,120,13,38.9071923,-77.0368707
80,"Cedar Rapids, IA",49.1,4,124,121,58,41.9778795,-91.6656232
105,"Santa Ana, CA",46.07,94,69,122,97,33.7454725,-117.867653
157,"Amarillo, TX",38.58,172,168,123,141,35.2219971,-101.8312969
94,"Anchorage, AK",47.39,143,102,124,31,61.2175758,-149.8996785
56,"Garden Grove, CA",51.53,53,58,125,2,33.7742692,-117.9379952
128,"Louisville, KY",42.79,171,70,126,113,38.2526647,-85.7584557
93,"Aurora, IL",47.48,49,132,127,17,41.7605849,-88.32007150000001
135,"Port St. Lucie, FL",42.24,122,98,128,172,27.2730492,-80.3582261
122,"Springfield, MO",43.97,154,104,129,77,37.2089572,-93.29229889999999
116,"Des Moines, IA",44.56,12,139,130,131,41.5868353,-93.6249593
164,"Wichita, KS",36.74,114,174,131,164,37.68717609999999,-97.33005299999999
161,"Mobile, AL",37.33,161,158,132,176,30.6953657,-88.0398912
52,"Yonkers, NY",52.21,25,36,133,42,40.9312099,-73.89874689999999
154,"Baton Rouge, LA",39.35,128,163,134,135,30.4514677,-91.18714659999999
152,"Bakersfield, CA",39.61,173,114,135,143,35.3732921,-119.0187125
120,"Chesapeake, VA",44.14,69,118,136,102,36.7682088,-76.2874927
109,"Rapid City, SD",45.38,95,103,137,81,44.0805434,-103.2310149
132,"Kansas City, MO",42.41,145,117,138,99,39.0997265,-94.5785667
144,"Akron, OH",40.95,149,152,139,76,41.0814447,-81.51900529999999
121,"Cleveland, OH",44,175,51,140,85,41.49932,-81.6943605
123,"Nashville, TN",43.92,101,39,141,159,36.1626638,-86.7816016
96,"Warwick, RI",47.29,21,95,142,108,41.7001009,-71.4161671
150,"Garland, TX",39.65,129,144,143,142,32.912624,-96.63888329999999
167,"Winston-Salem, NC",36.24,121,172,144,171,36.09985959999999,-80.244216
142,"Dover, DE",41.12,93,170,145,155,39.158168,-75.5243682
82,"Jersey City, NJ",48.71,57,31,146,92,40.7177545,-74.0431435
136,"Stockton, CA",41.96,144,122,147,98,37.9577016,-121.2907796
86,"New Haven, CT",48.14,45,109,148,30,41.308274,-72.9278835
173,"Montgomery, AL",34.5,150,180,149,174,32.3792233,-86.3077368
163,"Toledo, OH",37.03,165,153,150,150,41.6528052,-83.5378674
103,"New Orleans, LA",46.08,110,131,151,20,29.95106579999999,-90.0715323
110,"Worcester, MA",45.37,59,93,152,87,42.2625932,-71.8022934
17,"New York, NY",58.35,42,2,153,15,40.7127753,-74.0059728
138,"El Paso, TX",41.89,125,110,154,111,31.7618778,-106.4850217
78,"Providence, RI",49.44,31,60,155,27,41.8239891,-71.4128343
160,"Fontana, CA",37.61,166,150,156,139,34.0922335,-117.435048
141,"Newport News, VA",41.16,138,123,157,94,37.0870821,-76.4730122
137,"Newark, NJ",41.91,147,76,158,121,40.735657,-74.1723667
155,"Las Cruces, NM",39.28,96,175,159,127,32.3199396,-106.7636538
166,"Corpus Christi, TX",36.29,160,161,160,152,27.8005828,-97.39638099999999
171,"Fayetteville, NC",35.36,130,173,161,175,35.0526641,-78.87835849999999
90,"Juneau, AK",47.71,140,111,162,12,58.301944399999996,-134.4197222
162,"Lewiston, ME",37.24,181,133,163,110,44.100351,-70.21477639999999
175,"Augusta, GA",33.76,170,167,164,179,33.4734978,-82.0105148
179,"Memphis, TN",32.22,178,166,165,173,35.1495343,-90.0489801
153,"Ontario, CA",39.41,167,134,166,60,34.0633443,-117.6508876
174,"Columbus, GA",33.97,180,162,167,160,32.4609764,-84.9877094
146,"Norfolk, VA",40.5,64,107,168,157,36.8507689,-76.28587259999999
158,"San Bernardino, CA",37.69,176,148,169,89,34.1083449,-117.2897652
170,"North Las Vegas, NV",35.5,177,160,170,129,36.1988592,-115.1175013
165,"Detroit, MI",36.62,168,125,171,153,42.331427,-83.0457538
177,"Charleston, WV",33.47,159,165,172,178,38.3498195,-81.6326234
176,"Shreveport, LA",33.65,148,178,173,156,32.5251516,-93.7501789
145,"Hialeah, FL",40.87,74,63,174,163,25.8575963,-80.2781057
151,"Grand Prairie, TX",39.65,115,155,175,59,32.7459645,-96.99778459999999
169,"Fort Smith, AR",35.8,169,159,176,119,35.3843722,-94.42096459999999
159,"Moreno Valley, CA",37.66,146,142,177,132,33.9424658,-117.2296717
178,"Jackson, MS",33.06,108,176,178,177,32.2987573,-90.1848103
172,"Huntington, WV",34.99,179,127,179,104,38.4192496,-82.44515400000002
181,"Gulfport, MS",28.48,163,181,180,181,30.3674198,-89.0928155
180,"Laredo, TX",31.47,153,179,181,158,27.5035613,-99.5075519
182,"Brownsville, TX",27.44,156,182,182,182,25.9017472,-97.4974838
